Strain,tokens
Carl-Sagan,"['carl', 'sagan', 'hybrid', 'happy', 'relaxed', 'uplifted', 'focused', 'aroused', 'sweet', 'earthy', 'pine', 'sorry', 'disappoint', 'carl', 'sagan', 'send', 'cosmos', 'sagan', 'easy', 'relaxing', 'cross', 'pre', '98', 'bubba', 'kush', 'bogs', 'blue', 'moon', 'rocks', 'named', 'late', 'carl', 'sagan', 'professor', 'astronomy', 'space', 'sciences', 'cornell', 'university', 'pays', 'homage', 'great', 'astronomer', 'intellectual', 'cannabis', 'activist', 'hybrid', 'sativa', 'dominant', 'provides', 'consumers', 'balanced', 'buzz', 'sagan', 'great', 'looking', 'strong', 'overwhelming', 'features', 'tropical', 'aroma', 'lingering', 'tastes', 'guava', 'passion', 'fruit']"
Carnival,"['carnival', 'sativa', 'talkative', 'uplifted', 'happy', 'energetic', 'relaxed', 'earthy', 'pine', 'carnival', 'ministry', 'cannabis', 'sativa', 'dominant', 'designed', 'translate', 'eccentric', 'colorful', 'vibe', 'carnival', 'streets', 'brazil', 'mind', 'consumer', 'cerebral', 'gets', 'powerful', 'mental', 'select', 'haze', 'mother', 'unknown', 'sativa', 'hybrid', 'father', 'scents', 'citrus', 'lemon', 'candy', 'explode', 'lanky', 'spears', 'created', 'plant', 'know', 'thrive', 'indoors', 'outdoors', 'carnival', 'snappy', 'flowering', 'time', 'weeks', 'upbeat', 'euphoria', 'general', 'mood', 'alteration', 'makes', 'great', 'social', 'share', 'friends']"
Cascadia-Kush,"['cascadia', 'kush', 'indica', 'relaxed', 'tingly', 'sleepy', 'aroused', 'uplifted', 'sweet', 'earthy', 'flowery', 'cascadia', 'kush', '80/20', 'indica', 'hesperides', 'gardens', 'washington', 'alien', 'kush', 'frankenstein', 'genetics', 'create', 'powerhouse', 'relaxing', 'pain', 'relieving', 'cascadia', 'kush', 'took', 'award', 'best', 'indica', '2015', 'dope', 'cup', 'seattle']"
Casey-Jones,"['casey', 'jones', 'sativa', 'uplifted', 'happy', 'energetic', 'creative', 'hungry', 'earthy', 'sweet', 'citrus', 'choo', 'choo', 'casey', 'jones', 'coming', 'track', 'casey', 'famous', 'engineer', 'killed', 'train', 'wreck', '1900', 'recently', '-pron-', 'teenage', 'mutant', 'ninja', 'turtles', 'character', 'fond', 'hockey', 'masks', 'vigilante', 'justice', 'casey', 'jones', 'cross', 'oriental', 'express', 'trainwreck', 'x', 'thai', 'east', 'coast', 'sour', 'diesel', 'provides', 'earthy', 'sweet', 'palate', 'subtle', 'hints', 'citrus', 'casey', 'jones', 'pleasant', 'sativa', 'uplifting', 'great', 'releasing', 'creativity']"
Cashus-Clay,"['cashus', 'clay', 'hybrid', 'uplifted', 'euphoric', 'happy', 'talkative', 'energetic', 'earthy', 'pungent', 'butter', 'cashus', 'clay', 'called', 'cash', 'kush', 'clone', 'thclones', 'flavorful', 'cross', 'triumvirate', 'potent', 'genetics', 'true', 'og', 'bubble', 'gum', 'master', 'kush', 'trio', 'rich', 'berry', 'terpenes', 'pleasurable', 'body', 'powerful', 'mind', 'expanding', 'euphoria', 'deep', 'indica', 'breeder', 'swears', 'focused', 'motivating', 'qualities', 'classifying', 'hybrid', 'utilize', 'cashus', 'clay', 'day', 'mind', 'dosage', 'potent', 'potentially', 'sedative', 'inexperienced', 'consumer']"
Casper-Og,"['casper', 'og', 'indica', 'relaxed', 'sleepy', 'euphoric', 'hungry', 'uplifted', 'earthy', 'sweet', 'pungent', 'casper', 'og', 'indica', 'dominant', 'unique', 'history', 'combining', 'thadocta', 'face', 'og', 'orgnkid', 'ghost', 'og', 'casper', 'og', 'friendliest', 'og', 'know', 'brought', 'great', 'known', 'squat', 'plants', 'grow', 'cycle', 'casper', 'og', 'ideal', 'indoor', 'grow', 'plant', 'delivers', 'traditional', 'indica', 'mellow', 'mind', 'body', 'small', 'doses', 'anchors', 'consumer', 'couch', 'continued', 'use', 'terpene', 'profile', 'rich', 'og', 'notes', 'earth', 'delicate', 'citrus', 'enjoy', 'casper', 'og', 'evening', 'maximize', 'stress', 'free', 'relaxation', 'gradual', 'sedation']"
Cat-Piss,"['cat', 'piss', 'sativa', 'happy', 'uplifted', 'euphoric', 'relaxed', 'talkative', 'earthy', 'woody', 'blue', 'cheese', 'originally', 'clone', 'phenotype', 'super', 'silver', 'haze', 'cat', 'piss', 'sativa', 'dominant', 'uniquely', 'pungent', 'ammonia', 'stench', 'reminiscent', 'crossed', 'create', 'lines', 'varying', 'phenotypes', 'indica', 'dominant', 'varieties', 'generally', 'considered', 'sativa', 'sweet', 'undertones', 'pine', 'high', 'uplifting', 'cerebral', 'nice', 'relaxing', 'body', 'feel', 'makes', 'good', 'option', 'daytime', 'use']"
Cataract-Kush,"['cataract', 'kush', 'hybrid', 'relaxed', 'happy', 'hungry', 'euphoric', 'uplifted', 'pungent', 'citrus', 'sweet', 'combination', 'la', 'confidential', 'og', 'kush', 'created', 'dna', 'genetics', 'blankets', 'crystals', 'looks', 'grayish', 'black', 'good', 'pain', 'eating', 'sleep', 'disorders', 'describe', '\n', 'cataract', 'creeper', 'high', 'keeps', 'building', 'long', 'stop', 'smoking', 'years', 'recommended', 'light', 'weight', 'smoker', 'experience', 'cataract', 'kush', '-pron-', 'think', 'cataracts']"
Catfish,"['catfish', 'sativa', 'uplifted', 'creative', 'energetic', 'euphoric', 'happy', 'earthy', 'ammonia', 'chemical', 'catfish', 'sativa', 'took', '1st', 'place', 'high', 'times', '2014', 'michigan', 'medical', 'cannabis', 'cup']"
Cello-Sweet-Og,"['cello', 'sweet', 'og', 'hybrid', 'sleepy', 'relaxed', 'uplifted', 'creative', 'euphoric', 'sweet', 'spicy', 'herbal', 'pineapple', 'colorado', 'inc', 'pays', 'homage', 'new', 'school', 'old', 'school', 'genetics', 'cello', 'sweet', 'og', 'cross', 'dj', 'short', 'flo', 'living', 'cannabis', 'virtuoso', 'secret', 'garden', 'og', 'co', 'kush', 'bomb', 'create', 'connoisseur', 'quality', 'potency', 'dimension', 'range', 'cerebral', 'sedative', 'contains', 'movements', 'symphony', 'rising', 'meditative', 'mind', 'decrescendo', 'body', 'relaxation']"
Central-American,"['central', 'american', 'sativa', 'relaxed', 'euphoric', 'happy', 'hungry', 'earthy', 'diesel', 'sweet', 'central', 'american', 'indigenous', 'varieties', 'cannabis', 'landraces', 'grow', 'natively', 'region', 'world', 'region', 'latitude', 'climate', 'native', 'landrace', 'sativa', 'structure']"
Cerebro-Haze,"['cerebro', 'haze', 'sativa', 'uplifted', 'happy', 'relaxed', 'creative', 'energetic', 'pepper', 'citrus', 'vanilla', 'cerebro', 'haze', 'sativa', 'dominant', 'crosses', 'brain', 'og', 'tom', 'hills', 'haze', 'suggests', 'cerebro', 'haze', 'focuses', 'efforts', 'head', 'provides', 'clean', 'clear', 'buzz', 'allows', 'stay', 'active', 'functional', 'despite', 'sativa', 'influence', 'cerebro', 'haze', 'provides', 'relaxing', 'body', 'preferred', 'patients', 'treating', 'pain', 'headaches']"
Chairman-Chem-Sou,"['chairman', 'chem', 'sou', 'hybrid', 'energetic', 'happy', 'uplifted', 'creative', 'euphoric', 'diesel', 'pepper', 'citrus', 'chairman', 'chem', 'sou', 'chemdawg', 'cross', 'royal', 'choice', 'farms', 'tart', 'combination', 'unites', 'popular', 'chemdawg', 'sour', 'og', 'sour', 'spicy', 'aroma', 'equal', 'measure', 'mental', 'physical', 'known', 'suppress', 'appetite', 'elevate', 'mood', 'encourage', 'physical', 'activity', 'palate', 'sweet', 'tangy', 'offering', 'notes', 'citrus', 'pine', 'fuel', 'finish']"
Champagne-Kush,"['champagne', 'kush', 'hybrid', 'happy', 'uplifted', 'relaxed', 'euphoric', 'talkative', 'citrus', 'sweet', 'earthy', 'champagne', 'kush', 'indica', 'dominant', 'hybrid', 'variety', 'attributes', 'suited', 'different', 'tastes', 'ailments', 'pleasant', 'palpable', 'weight', 'limbs', 'coupled', 'heady', 'thoughtful', 'mind', 'adapts', 'consumer', 'needs', 'dosage', 'lighter', 'end', 'expect', 'headier', 'trip', 'mood', 'enhancing', 'generally', 'lead', 'sense', 'continued', 'consumption', 'lead', 'weighted', 'body', 'mind', 'feels', 'meditative', 'core']"
Charlie-Sheen,"['charlie', 'sheen', 'hybrid', 'happy', 'euphoric', 'relaxed', 'sleepy', 'focused', 'pine', 'sweet', 'lemon', 'charlie', 'sheen', 'indica', 'dominant', 'hybrid', 'parented', 'green', 'crack', 'og', 'kush', 'blue', 'dream', 'lemon', 'scented', 'taste', 'likewise', 'distinct', 'undercurrent', 'kush', 'relaxing', 'uplifted', 'lengthy', 'sleepy', 'come', 'great', 'pain', 'relief', 'insomnia']"
Charlottes-Web,"['charlottes', 'web', 'sativa', 'relaxed', 'uplifted', 'focused', 'happy', 'energetic', 'earthy', 'flowery', 'sweet', 'charlotte', 'web', 'cultivar', '0', '3', 'thc', 'gained', 'popularity', 'option', 'treating', 'seizures', 'range', 'medical', 'conditions', 'medical', 'potency', 'high', 'cbd', 'content', 'specifically', 'cultivated', 'colorado', 'breeders', 'stanley', 'brothers', 'young', 'epileptic', 'patient', 'named', 'charlotte', 'contrary', 'popular', 'belief', 'charlotte', 'web', 'hemp', 'derived', 'product', 'little', 'psychoactive', 'great', 'want', 'medication', 'affect', 'daily', 'tasks', 'charlotte', 'powerful', 'web', 'cause', 'dizziness', 'patients', 'new', 'cautious', 'learn', 'charlotte', 'web']"
Cheese,"['cheese', 'hybrid', 'relaxed', 'happy', 'euphoric', 'uplifted', 'hungry', 'cheese', 'earthy', 'pungent', 'named', 'sharply', 'sour', 'aroma', 'cheese', 'indica', 'dominant', 'hybrid', 'u', 'k', 'achieved', 'widespread', 'popularity', 'unique', 'consistent', 'potency', 'origins', 'stretch', 'late', '1980s', 'cheese', 'said', 'descend', 'skunk', '1', 'phenotype', 'pungent', 'aroma', 'stand', 'breeders', 'big', 'buddha', 'later', 'introduced', 'afghani', 'indica', 'genetics', 'increase', 'cheese', 'trichome', 'production', 'yields', 'resulting', 'hybrid', 'known', 'relaxed', 'happy', 'gently', 'ease', 'blissful', 'state', 'mind']"
Cheese-Candy,"['cheese', 'candy', 'hybrid', 'relaxed', 'uplifted', 'happy', 'sleepy', 'creative', 'cheese', 'sweet', 'pungent', 'cheese', 'candy', 'delicious', 'hybrid', 'lovechild', 'cheese', 'caramelo', 'combination', 'parent', 'results', 'unusual', 'fusion', 'sweet', 'candy', 'sharp', 'cheese', 'sweet', 'sour', 'aroma', 'accented', 'flowery', 'fruity', 'usher', 'cheese', 'candy', 'deeply', 'relaxing', 'characteristics', 'long', 'slender', 'wrapped', 'fiery', 'orange', 'hairs', 'stand', 'vibrant', 'contrast', 'hybrid', 'sage', 'green', 'hues']"
Cheese-Quake,"['cheese', 'quake', 'hybrid', 'euphoric', 'uplifted', 'relaxed', 'tingly', 'happy', 'ammonia', 'citrus', 'rose', 'cheese', 'quake', 'tga', 'subcool', '60/40', 'indica', 'dominant', 'cross', 'cheese', 'querkle', 'hint', 'grape', 'detectable', 'aroma', 'led', 'funky', 'sour', 'aroma', 'commonly', 'associated', 'cheese', 'hybrids', 'expect', 'feel', 'tingy', 'invigoration', 'followed', 'uplifting', 'body', 'sensations', 'help', 'feel', 'relaxed', 'carefree']"
Cheeseburger,"['cheeseburger', 'hybrid', 'tingly', 'uplifted', 'relaxed', 'aroused', 'creative', 'cheese', 'pepper', 'tea', 'cheeseburger', 'cannasol', 'farms', 'omak', 'washington', 'deep', 'sumptuous', 'leaves', 'consumer', 'feeling', 'satisfied', 'cheeseburger', 'hard', 'day', 'work', 'long', 'mysterious', 'heritage', 'coming', 'okanogan', 'indica', 'dominant', 'entrusted', 'cannasol', 'ensure', 'wholesome', 'genetics', 'preserved', 'yield', 'plant', 'weight', 'reaching', 'pounds', 'plant', 'grows', 'grows', 'cheeseburger', 'known', 'grow', 'long', 'summer', 'nights', 'matures', 'ears', 'corn', 'ripen', 'stalk']"
Cheesewreck,"['cheesewreck', 'hybrid', 'happy', 'relaxed', 'uplifted', 'creative', 'euphoric', 'cheese', 'woody', 'pungent', 'cheesewreck', 'sativa', 'dominant', 'hybrid', 'seedism', 'brings', 'pungent', 'sour', 'aroma', 'cheese', 'staggering', 'potency', 'trainwreck', 'hybrid', 'settle', 'right', 'away', 'cheesewreck', 'reminds', 'trainwreck', 'genes', 'crushing', 'euphoria', 'body', 'relaxation', 'cheesewreck', 'trails', 'comfortable', 'sleepiness', 'time', 'settles', 'racing', 'thoughts', 'wind', 'night', 'high', 'yields', 'cheesewreck', 'ready', 'harvest', 'following', '9', '10', 'flowering', 'cycle', 'indoors']"
Chem-Crush,"['chem', 'crush', 'hybrid', 'talkative', 'energetic', 'happy', 'creative', 'uplifted', 'sweet', 'earthy', 'pungent', 'chem', 'crush', 'hybrid', 'took', '2nd', 'place', '2014', 'denver', 'cannabis', 'cup']"
Chem-Dog,"['chem', 'dog', 'indica', 'relaxed', 'happy', 'sleepy', 'euphoric', 'hungry', 'lavender', 'sweet', 'citrus', 'chem', 'd', 'o', 'g', 'confused', 'chemdawg', 'potent', 'chemdawg', 'og', 'kush', 'cross', 'harnesses', 'best', 'qualities', 'expansive', 'terpene', 'profile', 'includes', 'limonene', 'caryophyllene', 'myrcene', 'spiced', 'citrus', 'nose', 'touches', 'chemical', 'earth', 'bouquet', 'aromas', 'illustrates', 'complex', 'nestled', 'chem', 'd', 'o', 'g', 'frosty', 'greenery', 'soothing', 'physical', 'relaxation', 'powerful', 'rush', 'brought', 'high', 'thc', 'content']"
Chem-Jack,"['chem', 'jack', 'hybrid', 'talkative', 'uplifted', 'creative', 'happy', 'aroused', 'earthy', 'sweet', 'flowery', 'chem', 'jack', 'common', 'sense', 'cross', 'chemdawg', 'jack', 'herer', 'sativa', 'dominant', 'hybrid', 'expresses', 'lime', 'green', 'dark', 'brown', 'pistils', 'sweet', 'herbal', 'taste', 'smoke', 'intensely', 'piney', 'bordering', 'chemical', 'centered', 'relaxing', 'helping', 'consumers', 'shrug', 'stress', 'improve', 'mood', 'chem', 'jack', 'push', '25', 'thc', 'mind', 'dosage', 'chem', 'jack', 'functional', 'buzz', 'whimsical', 'moderately', 'sedating', 'continued', 'consumption']"
Chem-Jong-Ill,"['chem', 'jong', 'ill', 'hybrid', 'uplifted', 'creative', 'happy', 'talkative', 'energetic', 'sativa', 'dominant', 'cross', 'cannabis', 'pros', 'looking', 'head', 'clean', 'chem', 'jong', 'ill', 'powerful', 'hybrid', 'colorado', 'inc', 'chemdawg', '4', 'gupta', 'kush', 'genetics', 'built', 'potency', 'longevity', 'excellent', 'option', 'extended', 'physical', 'activity', 'offering', 'uplifted', 'airy', 'high', 'body', 'easy', 'joints', 'aroma', 'thick', 'chemical', 'funk', 'floral', 'notes', 'typical', 'kush', 'varieties']"
Chem-Scout,"['chem', 'scout', 'indica', 'relaxed', 'euphoric', 'focused', 'happy', 'creative', 'earthy', 'skunk', 'tea', 'chem', 'scout', 'ic', 'collective', 'indica', 'dominant', 'took', '1st', 'place', '2014', 'high', 'times', 'cannabis', 'cup', 'san', 'fransisco', 'cross', 'chemdawg', '91', 'girl', 'scout', 'cookies', 'delivers', 'blast', 'cerebral', 'euphoria', 'tapers', 'body', 'relaxation', 'time']"
Chem-Valley-Kush,"['chem', 'valley', 'kush', 'hybrid', 'relaxed', 'euphoric', 'happy', 'tingly', 'sleepy', 'diesel', 'earthy', 'pine', 'chem', 'valley', 'kush', 'sativa', 'leaning', 'hybrid', 'cross', 'chemdawg', 'sfv', 'og', 'kush', 'cali', 'connection']"
Chems-Sister,"['chems', 'sister', 'sativa', 'creative', 'euphoric', 'happy', 'focused', 'relaxed', 'chemical', 'pungent', 'citrus', 'chem', 'sister', 'known', 'chem', 'sis', 'sativa', 'dominant', 'variation', 'classic', 'chemdawg', 'phenotype', 'emerged', '1996', 'evolved', 'uplifting', 'long', 'lasting', 'sativa', 'market', 'today', 'strong', 'cerebral', 'come', 'coupled', 'distinct', 'skunky', 'diesel', 'aroma', 'underscored', 'accents', 'sweet', 'sandalwood', 'citrus', 'course', 'maturation', 'chem', 'sis', 'mint', 'green', 'burst', 'white', 'hairs', 'darken', 'age']"
Chemwreck,"['chemwreck', 'hybrid', 'uplifted', 'talkative', 'happy', 'relaxed', 'energetic', 'diesel', 'chemical', 'pungent', 'chemwreck', 'sativa', 'dominant', 'hybrid', 'lionhart', 'combination', 'chemdawg', 'trainwreck', 'genetics', 'way', 'pungent', 'aroma', 'diesel', 'fumes', 'lemon', 'citrus', 'pine', 'potent', 'chemwreck', 'uplifting', 'energetic', 'providing', 'creative', 'stimulation', 'deep', 'relaxation', 'putting', 'sleep']"
Chemdawg,"['chemdawg', 'hybrid', 'relaxed', 'happy', 'euphoric', 'uplifted', 'creative', 'diesel', 'earthy', 'pungent', 'chemdawg', 'developed', 'years', 'mysterious', 'origin', 'ambiguous', 'genetics', 'plethora', 'successful', 'crosses', 'produced', 'chemdawg', 'practically', 'secured', 'permanent', 'place', 'cannabis', 'hall', 'fame', 'original', 'source', 'powerhouse', 'sour', 'diesel', 'og', 'kush', 'chemdawg', 'known', 'distinct', 'diesel', 'aroma', 'pungent', 'sharp', '-pron-', 'able', 'hybrid', 'mile', 'away', 'cannabis', 'newbies', 'warned', 'chemdawg', 'potent', 'depending', 'grow', 'conditions', 'thc', 'levels', '15', '20', 'consumers', 'expect', 'cerebral', 'experience', 'coupled', 'strong', 'heavy', 'bodied', 'feeling']"
Chemdawg-4-X-Alien-Og-Kush,"['chemdawg', '4', 'x', 'alien', 'og', 'kush', 'hybrid', 'relaxed', 'energetic', 'happy', 'euphoric', 'creative', 'nutty', 'mint', 'flowery', 'chemdawg', '4', 'x', 'alien', 'og', 'kush', 'sativa', 'dominant', 'hybrid', 'offered', 'exclusively', 'livwell', 'colorado', 'sour', 'skunky', 'pungent', 'carry', 'complex', 'fragrance', 'notes', 'earthy', 'kush', 'fresh', 'pine', 'prepare', 'blissful', 'relaxing', 'experience', 'overtakes', 'mind', 'body', 'potent', 'skirt', 'past', '23', 'thc']"
Chemdawg-4,"['chemdawg', '4', 'hybrid', 'relaxed', 'euphoric', 'happy', 'hungry', 'uplifted', 'pine', 'diesel', 'lemon', 'prominent', 'line', 'chemdawg', 'chemdawg', '4', 'unlike', 'counterparts', 'indica', 'dominant', 'known', 'affect', 'head', 'sensation', 'minutes', 'body', 'likened', 'citrus', 'pine', 'sol', 'lemon', 'light', 'green', 'chemdawg', '4', 'grows', 'fairly', 'tall', 'plant', 'reaching', '7', 'feet', 'outdoors', '4', '5', 'feet', 'indoors', 'flowering', 'time', '9', '10', 'weeks', 'appears', 'large', 'crystals', 'orange', 'hairs', 'growing']"
Chemdawg-91,"['chemdawg', '91', 'hybrid', 'euphoric', 'uplifted', 'relaxed', 'happy', 'tingly', 'earthy', 'diesel', 'pungent', 'members', 'chemdawg', 'line', 'origins', 'chemdawg', '91', 'shrouded', 'mystery', 'rumor', 'cultivated', 'illustrious', 'east', 'coast', 'breeder', 'goes', 'chemdawg', 'speculate', 'descends', 'thai', 'landrace', 'chemdawg', '91', 'thought', 'offshoot', 'original', 'chemdawg', 'numerical', 'addition', '91', 'believed', 'reference', 'year', 'came', 'existence', 'growers', 'believe', 'chemdawg', '91', 'cross', 'chemdawg', 'skunk', 'explain', 'particularly', 'pungent', 'aroma', 'true', 'family', 'spirit', 'hybrid', 'strong', 'diesel', 'piney', 'lemon', 'aftertaste', 'chemdawg', '91', 'crops', 'lean', 'sativa', 'find', 'indica', 'variants', 'dispensary', 'retail', 'shelves', 'consumers', 'expect', 'cerebral', 'buzz']"
Chemdawg-Sour-Diesel,"['chemdawg', 'sour', 'diesel', 'hybrid', 'uplifted', 'happy', 'euphoric', 'relaxed', 'energetic', 'diesel', 'pine', 'pungent', 'chemdawg', 'sour', 'diesel', 'chem', 'sour', 'reservoir', 'sativa', 'dominant', 'hybrid', 'cannabis', 'champion', 'genetics', 'chemdawg', 'd', 'sour', 'diesel', 'sharp', 'sour', 'bite', 'chemdawg', 'sour', 'diesel', 'funky', 'fuel', 'earthy', 'pine', 'aroma', 'stuns', 'senses', 'buzzing', 'euphoria', 'leaves', 'feeling', 'elevated', 'uplifted', 'anxiety', 'prone', 'individuals', 'tread', 'carefully', 'high', 'flying', 'sativa']"
Chemmy-Jones,"['chemmy', 'jones', 'hybrid', 'happy', 'relaxed', 'euphoric', 'creative', 'uplifted', 'earthy', 'flowery', 'pine', 'chemmy', 'jones', 'connoisseur', 'genetics', 'hybrid', 'unites', 'genetics', 'chemdawg', 'd', 'casey', 'jones', 'uplifting', 'revitalizing', 'chemmy', 'jones', 'manages', 'induce', 'functional', 'high', 'energy', 'buzz', 'allows', 'stay', 'productive', 'diesel', 'counterbalanced', 'floral', 'sweetness', 'inviting', 'senses', 'indulge', 'invigorating', 'sativa', 'dominant']"
Chemnesia,"['chemnesia', 'hybrid', 'uplifted', 'euphoric', 'relaxed', 'happy', 'energetic', 'diesel', 'sweet', 'citrus', 'chemnesia', 'dubbed', 'powerful', 'illinois', 'breeder', 'bedford', 'grow', 'genetic', 'synthesis', 'amnesia', 'sour', 'diesel', '95', 'consumers', 'invigorating', 'mental', 'physical', 'help', 'combat', 'fatigue', 'depression', 'inflammation', 'potent', 'promote', 'focus', 'creativity', 'proper', 'dose', 'emitting', 'pleasant', 'aroma', 'citrus', 'fuel', 'chemnesia', 'terpene', 'cannabinoid', 'profile', 'quality', 'sativa', 'dominant', 'hybrid']"
Chemo,"['chemo', 'indica', 'relaxed', 'euphoric', 'sleepy', 'happy', 'hungry', 'earthy', 'woody', 'pine', 'rumor', 'chemo', 'beginnings', 'stretch', '1970s', 'canada', 'heavy', 'indica', 'allegedly', 'developed', 'treat', 'chemotherapy', 'ubc', 'chemo', 'reference', 'university', 'chemo', 'said', 'conceived', 'chemo', 'genetics', 'carried', 'jordan', 'islands', 'rendition', 'best', 'known', 'subtle', 'woody', 'aroma', 'potent', 'medicinal', 'perfect', 'patients', 'treating', 'nausea', 'appetite', 'loss', 'pain', 'sleeplessness']"
Cherwillie,"['cherwillie', 'hybrid', 'creative', 'energetic', 'happy', 'relaxed', 'focused', 'sweet', 'strawberry', 'citrus', 'cherwillie', 'sativa', 'dominant', 'hybrid', 'cross', 'chernobyl', 'willie', 'nelson', 'true', 'hybrid', 'offering', 'consumers', 'balanced', 'physical', 'mental', 'attributes', 'edge', 'repetitive', 'tasks', 'long', 'day', 'terpene', 'profile', 'mixture', 'earth', 'spice', 'smooth', 'finish', 'cherwillie', 'known', 'creative', 'functional', 'buzz', 'manageable', 'potency']"
Chernobyl,"['chernobyl', 'hybrid', 'happy', 'euphoric', 'relaxed', 'energetic', 'uplifted', 'citrus', 'lime', 'lemon', 'chernobyl', 'sativa', 'dominant', 'hybrid', 'carries', 'unique', 'lime', 'sherbet', 'originally', 'tga', 'genetics', 'citrusy', 'descends', 'trainwreck', 'jack', 'ripper', 'trinity', 'expect', 'dreamy', 'long', 'lasting', 'cerebral', 'float', 'happy', 'mood', 'relaxed', 'mindsets']"
Cherries-Jubilee,"['cherries', 'jubilee', 'indica', 'euphoric', 'uplifted', 'relaxed', 'happy', 'creative', 'berry', 'woody', 'sage', 'cherries', 'jubilee', 'festive', 'named', 'dessert', 'usually', 'baked', 'fall', 'sweet', 'light', 'tartness', 'nose', 'real', 'cherry', 'comes', 'exhale', 'indica', 'dominant', 'hybrid', 'cherries', 'jubilee', 'starts', 'uplifting', 'euphoria', 'turns', 'hazy', 'mind', 'heavy', 'body', 'creep', 'slowly', 'extremities', 'leading', 'weighty', 'relaxation', 'lingers']"
Cherry-Ak-47,"['cherry', 'ak', '47', 'hybrid', 'relaxed', 'happy', 'euphoric', 'uplifted', 'focused', 'sweet', 'berry', 'earthy', 'marijuana', 'rare', 'cherry', 'phenotype', 'ak', '47', 'reddish', 'purple', 'characteristics', 'cherry', 'aroma', '-pron-', 'wonder', 'cherry', 'ak', '47', 'got', 'gold', 'coloring', 'lime', 'green', 'leaves', 'layered', 'trichome', 'heads', 'described', 'smooth', 'cherry', 'creamy', 'sandalwood', 'aftertaste', 'thc', 'level', '16', 'cbd', 'level', '0', '5', 'cherry', 'ak', '47', 'creeps', 'cerebral', 'complete', 'body', 'sensation']"
Cherry-Bomb,"['cherry', 'bomb', 'hybrid', 'focused', 'talkative', 'happy', 'uplifted', 'relaxed', 'berry', 'pungent', 'skunk', 'cherry', 'bomb', 'popular', 'marijuana', 'thanks', 'reputation', 'great', 'hybrid', 'provides', 'mild', 'moderate', 'appropriate', 'daytime', 'consumption', 'bright', 'green', 'flowers', 'fast', 'giving', 'consumers', 'telltale', 'pressure', 'eyes', 'usually', 'indicator', 'strong', 'sativa', 'buzz', 'come', 'immediate', 'active', 'mentally', 'alert', 'border', 'antsy', 'feeling', 'smooth', 'focused', 'state', 'allows', 'normal', 'activities', 'help', 'tackle', 'list', 'creative', 'project', 'genetics', 'dependent', 'version', 'popular', 'variant', 'cross', 'california', 'indica', 'likely', 'skunk', 'hawaiian', 'sativa', 'created', 'breeders', 'barney', 'farms', 'cherry', 'bomb', 'flowers', 'musky', 'berry', 'aroma', 'mild', 'similar']"
Cherry-Cookies,"['cherry', 'cookies', 'hybrid', 'happy', 'uplifted', 'euphoric', 'relaxed', 'focused', 'sweet', 'berry', 'pungent', 'cherry', 'cookies', 'popular', 'girl', 'scout', 'cookie', 'crosses', 'date', 'ranking', 'pink', 'cookies', 'thin', 'mint', 'girl', 'scout', 'cookies', 'similar', 'genetic', 'parentage', 'cherry', 'cookies', 'derives', 'blending', 'cherry', 'pie', 'aka', 'cherry', 'kush', 'cookies', 'f2', 'cross', 'preserves', 'tight', 'slightly', 'purple', 'deep', 'orange', 'pistils', 'accentuating', 'cherry', 'tang', 'tartness', 'nose', 'exhale', 'behaves', 'gsc', 'offering', 'medical', 'grade', 'sedation', 'body', 'alert', 'mental', 'state']"
Cherry-Cream-Pie,"['cherry', 'cream', 'pie', 'hybrid', 'relaxed', 'euphoric', 'creative', 'energetic', 'uplifted', 'sweet', 'chemical', 'pungent', 'cherry', 'cream', 'pie', 'decadent', 'indica', 'dominant', 'hybrid', 'offspring', 'cherry', 'pie', 'cookies', 'cream', 'pronounced', 'og', 'undertones', 'hints', 'tartness', 'pine', 'cherry', 'cream', 'pie', 'terpene', 'profile', 'half', 'experience', 'calming', 'permeate', 'mind', 'body', 'offering', 'consumers', 'carefree', 'mid', 'level', 'sedation', 'enjoy', 'cherry', 'cream', 'pie', 'later', 'day', 'couch', 'lock', 'appetite', 'stimulation', 'common', 'consumption', 'delicious', 'mellow', 'aggravated', 'muscles', 'minor', 'aches', 'pains']"
Cherry-Diesel,"['cherry', 'diesel', 'hybrid', 'relaxed', 'euphoric', 'energetic', 'happy', 'uplifted', 'berry', 'sweet', 'citrus', 'cherry', 'diesel', 'mtg', 'cherry', 'og', 'turbo', 'diesel', 'sweet', 'smelling', 'uplifting', 'hybrid', 'plants', 'bloom', 'dense', 'sticky', 'fragrant', 'cherry', 'aroma', '8', '9', 'flowering', 'cycle']"
Cherry-Durban-Poison,"['cherry', 'durban', 'poison', 'hybrid', 'uplifted', 'giggly', 'sleepy', 'aroused', 'euphoric', 'flowery', 'citrus', 'sweet', 'cherry', 'durban', 'poison', 'hybrid', 'brings', 'unique', 'cherry', 'profile', 'high', 'energy', 'qualities', 'durban', 'poison', 'true', 'sativa', 'roots', 'cherry', 'durban', 'poison', 'delivers', 'rush', 'cerebral', 'euphoria', 'lifts', 'mood', 'clouding', 'mind']"
